CustomerID,TransactionID,Date,ProductID,Category,SubCategory,Quantity,Price,Age,Gender,Region,Review_Text,Rating,Churned,Image_URL,Fraud_Flag,Total_Spend
1,61bffb48-c959-4151-8f6d-d313c6e5dd6e,2022-01-01,1102,Electronics,Shirt,4,211.44,31,Female,East,Laugh already kid.,4,0,https://example.com/image0.jpg,0,845.76
2,c76eafbd-e9ec-4d4d-8624-8c7fc4a5b44e,2022-01-02,1435,Clothing,Milk,9,333.58,20,Female,West,Movement age reach yes report production no.,4,0,https://example.com/image1.jpg,0,3002.22
3,00a7c675-794c-4887-ae88-58995b62510b,2022-01-03,1860,Toys,Milk,8,247.46,63,Male,North,Laugh talk your treatment fly.,3,1,https://example.com/image2.jpg,0,1979.68
4,1a1883f1-96d3-4b77-b424-8f0743701f7b,2022-01-04,1270,Clothing,Snacks,9,261.13,49,Male,East,Soldier forward improve ability since.,2,1,https://example.com/image3.jpg,0,2350.17
5,438728b8-6e11-4ffe-b0f4-513755ff1eef,2022-01-05,1106,Furniture,Sofa,1,219.02,60,Male,South,Trip unit blue nothing risk also rather.,1,0,https://example.com/image4.jpg,0,219.02
6,92fbdcb9-f829-4b9c-8e34-b196b54af732,2022-01-06,1071,Furniture,Sofa,9,495.89,53,Male,South,Each assume force meeting have prevent in add.,5,0,https://example.com/image5.jpg,0,4463.01
7,4b734cf1-49c9-46be-9397-644597375eb2,2022-01-07,1700,Furniture,Mobile,3,464.14,34,Female,West,Member us moment require ability.,4,1,https://example.com/image6.jpg,0,1392.42
8,86660a2e-f9c0-4e80-aca4-c0bccbacb92b,2022-01-08,1020,Electronics,Laptop,9,157.32,65,Female,North,Card few because from laugh offer person.,5,0,https://example.com/image7.jpg,0,1415.8799999999999
9,65d66d8d-c446-4dda-9405-9c498d005366,2022-01-09,1614,Furniture,Puzzle,1,60.24,20,Female,North,Light two ever line cost red.,5,0,https://example.com/image8.jpg,0,60.24
10,31252be9-aac8-4330-84f5-b949203eb37d,2022-01-10,1121,Toys,Action Figure,1,420.68,27,Female,East,Issue thought product community understand begin.,5,0,https://example.com/image9.jpg,0,420.68
11,5b88cb72-4d9f-4441-bf4a-314cde804feb,2022-01-11,1466,Clothing,Laptop,9,498.6,64,Male,South,Congress summer send TV group research.,3,0,https://example.com/image10.jpg,0,4487.400000000001
12,ada52b39-cc3e-45da-98ac-807133c197f1,2022-01-12,1214,Grocery,Snacks,6,149.84,57,Male,East,You stuff those point point operation admit.,5,0,https://example.com/image11.jpg,0,899.04
13,7819d88e-2efb-488d-aae7-1d2aafd0c7ab,2022-01-13,1330,Toys,Mobile,4,182.1,35,Female,East,Dog he eat soldier rest.,2,0,https://example.com/image12.jpg,0,728.4
14,20f47fe4-b4df-4723-8856-77b281c0b644,2022-01-14,1458,Toys,Shirt,7,471.11,20,Male,East,Affect though effort anyone cup according.,2,1,https://example.com/image13.jpg,0,3297.77
15,11151cbd-0acc-463b-8d34-6816dbcaf4ed,2022-01-15,1087,Furniture,Laptop,5,357.01,56,Male,North,Page song oil animal above while form.,1,0,https://example.com/image14.jpg,0,1785.05
16,9e3eb1b7-2dd0-4c02-bbba-0960429fdd97,2022-01-16,1372,Electronics,Shirt,7,151.34,27,Female,South,Civil natural goal book power.,1,0,https://example.com/image15.jpg,1,1059.38
17,be3f6ca2-7f18-4ed7-b857-4850664793a4,2022-01-17,1099,Clothing,Milk,8,292.62,69,Male,East,Almost show try wall recognize meet learn.,5,0,https://example.com/image16.jpg,0,2340.96
18,d4bd5f77-d0d2-4c8a-9423-7a3a543d0c96,2022-01-18,1871,Electronics,Action Figure,8,472.39,26,Female,South,Should they example little fine six safe.,5,0,https://example.com/image17.jpg,0,3779.12
19,d51a4b3d-baf4-45a4-9987-b036c9a66fbe,2022-01-19,1663,Clothing,Snacks,1,406.85,63,Male,South,Type today method last need.,3,0,https://example.com/image18.jpg,0,406.85
